Field 1 (Front),Field 2 (Back),Further Fields (3, 4, ...)
aspettare,to wait; imagining waiting to pet a cute dog and thinking that's ass
guardare,to watch; imagine standing guard and watching a castle
scrivere,to write; similar to scribe which is someone who is a writer 
in mezzo,in the middle; very similar to in the middle 
forse,maybe; imagine someone answering a math question without confidence as saying "for" "eh?" and it maybe right
più,more; imagine someone seeing "pee-u" from something being more smelly then normal 
mai,never; imagine the month May never being spelled Mai
certo,of course; similar to certain so of course its certain 
spesso,often; there are three s's in spesso so they appear often 
abbastanza,quiet; imagine a small stanza in a play being really quiet
raramente,rarely; cognate for rarely
veramente,really; thing of verdad as in true and saying yes it is really true
potere,to be able to; close to potential which is being able to do something 
credere,to believe; close to credible when someone is credible they are believeable
rompere,to break; imagine a bull romping around and breaking a China shop
catturare,to capture; sounds very similar to capture 
cambiare,to change; imagine having to change a lense on a "cam"era to be a "bi" focal lense
lamentarsi,to complain; to lament is similar to complain or regret
creare,to create; cognate for create 
disobbedire,to disobey; cognate for disobey
disturbare,to disturb; cognate for disturb
svuotare,to empty; vuoto is in the word and this means empty in italian
spiegare,to explain;  imagine a little toddler saying you have some "splaining" to do
seguire,to follow; Seguir is Spanish for follow this is a cognate 
abituarsi,to get used to; almost sounds like habit when something becomes habit you get used to it
invitare,to invite; cognate for invite 
conoscere,to know; cognate for conoscer which is to know is Spanish
convincere,to persuade/convince; cognate for convice
proteggere,to protect; looks similar to protect
rilassarsi,to relax; sounds similar to relax
ricordare,to remember; see "ricord" and imagine recording something so you can remember it later
rimuovere,to remove; cognate for remove 
ripetere,to repeat; sounds just like repeat 
separare,to separate; cognate for separate 
significare,to signify; cognate for signify
rubare,to steal; almost looks like "rob"
volere,to want; just remember this one
riguardo,about; imagine Oscar being "guard"ed from something bad about Ricky
dopo,after; see an "o" after both "d" and "p"
contro,against; similar to contrary
tutto,all; similar to total 
tra,among; imagine being "tra"pped among Italian speakers and not knowing Italian 
ma,but; But "ma" 
lavare,to wash; cognate for Spanish lavar which means the same thing
qual,some; think of "cual" in Spanish which is "which". this qualifies things signifies "some" not the whole
volta,time; associated with qualche volta which is sometimes
qualche volta,sometimes; associate with "qual" and "volta" words 
sicuramente,surely; see "secur" as in secured. Think of a secured truth or that it is surely trur
là,there; "la" means the but there is a little extra. just in the words the and there
quindi,therefore; think of coincidence when you see "quin". if something is of coincidence it is "therefore" notable
insieme,together; see "eme" and think of "e" and "me" which is and me. so think of you and me or together 
troppi,too many; plural for troppo which is too much 
troppo,too much; see the double "o" and "p" and think of "too" having double letters
solitamente,usually; solito is usual so see "solit" and think of this with "mente" which is "ly"
molto,very/a lot; molto Bene means very good
bene,well; similar to bien in Spanish
cosa,thing; just remember this
dove,where; imagine looking up in the sky and looking for where a dove is flying 
chi,who; think of che is what so change one letter and you have another "wh" question word
assolutamente,absolutely; cognate for absolutely
già,already; just remember this
altrettanto,as much; see all the "t"s and think this word has as many/much t as any word
ali'inizio,at first; see "inizio" and think initialize a set of instructions that start with "at first...do this"
prima,before; think of prima as first or the number 1 which comes before all other natural numbers
meglio,better; see "me" and "io" (I) and remember there are better times to use one or the other 
certamente,certainly; see "certa" and think of certain and then "mente" for ly
constantemente,constantly; cognate for constantly
presto,early; imagine hanging out with Tanya then saying "presto" and she shows up early 
altrove,elsewhere; "trove" is a conjugation of to find. imagine finding someone in an alternate location or elsewhere
specialmente,especially; close to a cognate for especially 
almeno,at least; see "meno" and think of minus which implies less. "al" is similar to "at". so at least 
lontano,far; see "lon" and think "long" or far
infine,finally; see "in" "fin"ishing
fluentemente,fluently; cognate for fluently
fortunemente,fortunately; cognate for fortunately 
infatti,in fact; see "in" and remember "in" and "fact" is close in sound to "fatti" 
dentro,inside; see "de" as in of in Spanish and "entro" and think of of the entry or inside 
invece di,instead of; see "di" and remember of and the "in" in both words match
tardi,late; cognate for tardy
colore,color; cognate for color
tinta,tint; cognate for tint
beige,beige; same as beige
nero,black; similar to negro
blu,navy blue; cognate for blue 
chiaro,bright; imagine an extremely bright key when you see "chi" 
bronzo,bronze; cognate for bronze
marrone,brown; maroon is a more brown red
scuro,dark; imagine something be ob"scur"ed because it's dark 
oro,gold; same as Spanish
verde,green; same as Spanish
grigio,grey; see the "gri" and think of grey
arancione,orange; arancia is the fruit orange
rosa,pink; think of maglia rosa
viola,purple; cognate for violet which is a shade of purple
rosso,red; think of rosa as pink but rosso is more masculine 
scarletto,scarlet; cognate 
argento,silver; see the "a" and "g" which is chemical symbol for silver
colorare,to color; similar to color but "are" ending
turchese,turquoise; cognate for turquoise 
bianco,white; cognate for blanco which is Spanish for white
giallo,yellow; almost sounds like yellow 
bibita,drink; cognate for Spanish bebita
la tazza,cup; imagine a little plastic sippy cup with "Taz" the tasmanian devil on the front
il bicchiere,glass; see "bi" and remember bibita and the "chi" as the key to drinking or a glass 
coltello,knife; "cotoletta" is a cutlet which you need a knife to make 
il lecca lecca,lollipop; sounds like "lick" "lick"
il piatto,plate; imagine your plate as a "patio" for your food to hang out on
il ristorante,restaurant; cognate 
broccoli,broccoli; same as English 
patatine fritte,french fries; see "patat" and the papa in Spanish which is potato and "fritte" as fried 
limonata,lemonade; limone is lemon which is close to limonata
funghi,mushroom; cognate for fungi which is broadly mushroom
mostarde,mustard; cognate for mustard 
omelette,omelet; cognate for omelet
patate,potato; cognate for potato
tè,tea; cognate for tea
cenare,to have dinner; cena is dinner and this is the verb form of this
pranzare,to have lunch; pranzo is lunch and this is just verb form 
vino,wine; you know this 
il panificio,bakery; "pane" is bread and "pani" would be plural. a bakery makes many breads
la banca,bank; cognate for bank
la liberia,bookstore; similar to library which is like a free bookstore 
il ponte,bridge; think of the ponte in venice
la costruzione,building; almost like a construction which is what a building is
il castello,castle; cognate for castle 
la chiesa,church; see the "ch" and remember "ch" in church 
la fabbrica,factory; a factory "fabric"ates things
la fortezza,fortress; cognate for fortress 
il benzinaio,gas station; think of "benz"e which is a compliment in gasoline
l'ospedale,hospital; cognate for hospital 
il chiosco,kiosk; cognate for kiosk
la biblioteca,library; cognate for Spanish library
il Centro commerciale,mall; a center of commerce or mall
la moschea,mosque; cognate for mosque 
il cinema,movie theater; cognate for cinema which is a synonym with movie theater 
il museo,museum; cognate for museum 
la farmacia,pharmacy; cognate for pharmacy 
la stazione di polizia,police station; cognate for police station
l'ufficio postale,post office; cognate for post office 
la prigione,prison; cognate for prison 
la scuola,school; cognate for school
lo stadio,stadium; cognate for stadium 
il negozio,store; think of "nego"tiating at a store for some goods
la piscina,swimming pool; cognate for Spanish pool
il tempio,temple; cognate for temple 
la torre,tower; think of all the ancient Torres you saw in Italy
la stazione,train station; cognate for station 
l'università,university; cognate for university
l'aeroporto,airport; cognate for airport 
l'ufficio,office; cognate for office 
signore,mr.; cognate for señor in Spanish 
signora,mrs./ms; cognate for señora
signorina,miss; cognate for señorita
abbastanza bene,quiet well; think of these two cards separately 
cosi cosi,so so; cognate for asi asi which is the same meaning in Spanish 
non c'è male ,not bad; male is bad and non is negative 
come stai,how are you; come is how and stai is conjugate from stare which is to stay 
a presto,see you soon; presto is early so this is similar to seeing someone early in time or soon
come va,how's it going; come is how and va to go
a domani,see you tomorrow; domani is tomorrow and "a" is regularly used as to see 
come sta,how are you (formal); same as come stai but formal
come si chiama,what is your name (formal); similar to come ti chiami but formal 
buongiorno,good morning; giorno is morning and buon is used as good
buonasera,good evening; sera is evening and buon is used as good
buonanotte,good night; same as buongiorno but night 
arrivederLa,goodbye (formal); similar to arrivederci but formal
arrivederci,goodbye (informal); common saying 
amiche,friends; cognate for amigos 
andare,to go; similar to andar in Spanish 
piacere di conoscerLa,pleased to meet you (formal); see piacere and the La at the end 
lo stesso,the same; literally translates to the same 
vicino,close/nearby; close to vicinity which is like saying you're close 
piccolo,small; a piccolo is a small flute 
antico,old; cognate for ancient which is really old 
il lago,lake; same as Spanish 
il mare,sea; cognate for mark in Spanish. think of frutta di mare
la spiaggia,beach; close to "spa" so imagine taking a spa day at the beach 
la mancia,tip; almost like money which is what you leave as a tip
povero,poor; think of pavorati a poor clown
generoso,generous; cognate 
giusto,right (as in asking correctness); think of the edX video when Anna asks alessandra if giovinazzo is near Bari
il conte,bill; think of "count" because the bill counts everything you owe
il parco,park; cognate for park 
libro,book; cognate for Spanish libro
un fidanzato,boyfriend; see "fid" and think of "fit" and someone looking for the right fit when they're looking for a boyfriend/gf
un fratello,brother; think of frat
un bambino,a child; think of the little child for sandlot saying the great bambino 
una coppia,couple; almost a cognate for couple 
un cugino,cousin; similar to cousin; think mi cugino Vinny
una figlia,daughter; sounds like a girls name; imagine having a daughter named figliomena
un discendente,descendent; cognate 
una famiglia,family; cognate for family 
un suocero,father-in-law; see "su" and think of "sue" as in law and remember it is an in-law
un nonno,grandpa; common term used in American italian families 
una nipote,granddaughter/grandson; imagine a grandma giving their grandchild a little "nip" on the cheek when they see them
un marito,husband; think if married and associate with husband 
un matrimonio,marriage; marriage is holy matrimony 
un membro,member; cognate for member 
una sorella,sister; imagine a "sor"ority sister named "ella"
un zio/a,uncle or aunt; think of tio/tia in Spanish  
un padre,father; common 
madre,mother; common
gentori,parents; see "gen" and think of generation and "ori" as bef"ori" 
tutta la farmiga,the whole family; literal translation 
sposare,to marry; see "spouse" and recognize the "are"ending verb 
un viaggio,a trip; think of taking a viaggio to la spiaggia
una svolta,a turn; imagine a lightning bolt making crazy turns in the sky as it lights up
li sotto,down there; li is like "là" and think of sit instead of "sotto" 
veloce,fast; similar to velocity 
immobile,motionless; cognate for immobile
velocemente,quickly; "veloce" is fast and mente adds "ly"
rapido,rapid; cognate for rapid 
rapidamente,rapidly; cognate 
lento,slow; see "lent" and think of everyone giving up speeding on the roads 
lentamente,slowly; associated with lento
velocità,speed; like velocity 
sempre dritto,straight ahead; see sempre and think always and that you should always move straight ahead 
arrivare,to arrive; cognate for arrive 
venire,to come; see "ven" and think of "ven aqui" which is Spanish for come here
spostare,to move; see "post" and imagine moving your post on a stakeout every so often 
a sinistra,to the left; think of "a" as in giving direction and the opposite of destra
a destra,to the right; think of a la derecho
da che parte,which way?; che means what/which and see parte and think of which part of a journey to take 
